ColorName,ColorSample,CXColorCode,HLSColorCode,Value
Black,,CX000000,H0000000,1
Blue,,CX0000FF,H00080FF,2
Green,,CX008000,H0F040FF,3
Red,,CXFF0000,H07880FF,4
Brown,,CXA52A2A,H0786898,5
RoyalBlue,,CX4169E1,H15991B9,6
Purple,,CX8FBC8F,H0F0A640,7
Chocolate,,CXD2691E,H09178BF,8
BlueViolet,,CX8A2BE2,H01F87C2,9
Salmon,,CXFA8072,H07EB6EE,10
DarkTurquoise,,CX00CED1,H12C69FF,11
OrangeRed,,CXFF4500,H08880FF,12
Gray,,CX808080,H0008000,13
CadetBlue,,CX5F9EA0,H12D8041,14
Indigo,,CX4B0082,H02241FF,15
Olive,,CX808000,H0B440FF,16
DarkViolet,,CX9400D3,H02A6AFF,17
Teal,,CX008080,H12C40FF,18
CornflowerBlue,,CX6495ED,H152A9CA,19
ForestGreen,,CX228B22,H0F0579B,20
IndianRed,,CXCD5C5C,H0789587,21
DarkBlue,,CX00008B,H00046FF,22
YellowGreen,,CX9ACD32,H0C7809B,23
DarkRed,,CX8B0000,H07846FF,24
DodgerBlue,,CX1E90FF,H1498FFF,25
SeaGreen,,CX2E8B57,H10A5D80,26
MediumVioletRed,,CXC71585,H0526ECE,27
SteelBlue,,CX4682B4,H1477D70,28
LightGreen,,CX90EE90,H0F0BFBB,29
DarkGreen,,CX006400,H0F032FF,30
SkyBlue,,CX87CEEB,H13DB9B6,31
PaleVioletRed,,CXDB7093,H064A698,32
DarkSlateBlue,,CX483D8B,H0086463,33
MediumSeaGreen,,CX3CB371,H10A787F,34
Crimson,,CXDC143C,H06C78D5,35
DeepSkyBlue,,CX00BFFF,H13B80FF,36
Violet,,CXEE82EE,H03CB8C2,37
SlateBlue,,CX6A5ACD,H0089488,38
LightSeaGreen,,CX20B2AA,H12869B1,39
DarkMagenta,,CX8B008B,H03C46FF,40
LightSkyBlue,,CX87CEFA,H142C1EB,41
Sienna,,CX32CD32,H0F0809B,42
HotPink,,CXFF69B4,H05AB4FF,43
LightSteelBlue,,CXB0C4DE,H14DC769,44
Magenta,,CXFF00FF,H03C80FF,45
MediumBlue,,CX0000CD,H00067FF,46
Navy,,CX00FA9A,H1147DFF,47
OliveDrab,,CX6B8E23,H0C7599A,48
Orange,,CXFFA500,H09E80FF,49
MediumSlateBlue,,CX7B68EE,H008ABCB,50
DarkOliveGreen,,CX98FB98,H0F0CAEC,51
MidnightBlue,,CX191970,H00045A2,52
Maroon,,CX800000,H07840FF,53
MediumAquamarine,,CX66CDAA,H1179A81,54
MediumOrchid,,CXBA55D3,H0309496,55
LightBlue,,CXADD8E6,H13ACA88,56
MediumPurple,,CX9370DB,H013A698,57
MediumTurquoise,,CX48D1CC,H1298D99,58
MediumSpringGreen,,CX000080,H00040FF,59
Peru,,CXCD853F,H0958696,60
LightSalmon,,CXFFA07A,H089BDFF,61
DarkCyan,,CX008B8B,H12C46FF,62
Burlywood,,CXDEB887,H099B391,63
DarkGoldenrod,,CXB8860B,H0A262E2,64
DarkGray,,CXA9A9A9,H000A900,65
DarkKhaki,,CXBDB76B,H0AF9462,66
DarkOrange,,CXFF8C00,H09880FF,67
DarkOrchid,,CX9932CC,H0287F9B,68
DarkSalmon,,CXE9967A,H087B2B7,69
DarkSlateGray,,CX2F4F4F,H12C3F41,70
Plum,,CXDDA0DD,H03CBF79,71
DimGray,,CX696969,H0006900,72
Firebrick,,CXB22222,H0786AAD,73
Fuchsia,,CXFF00FF,H03C80FF,74
Coral,,CXFF7F50,H088A8FF,75
Gold,,CXFFD700,H0AA80FF,76
Goldenrod,,CXDAA520,H0A27DBE,77
LightCoral,,CXF08080,H078B8C9,78
LightSlateGray,,CX778899,H14A8824,79
PaleGreen,,CX556B2F,H0CA4D63,80
Orchid,,CXDA70D6,H03EA596,81
DarkSlateGrey,,CX2F2F2F,H0002F00,82
DarkSeaGreen,,CX800080,H03C40FF,83
RosyBrown,,CXBC8F8F,H078A640,84
SaddleBrown,,CX8B4513,H0914FC2,85
DeepPink,,CXFF1493,H0578AFF,86
SandyBrown,,CXF4A460,H093AADE,87
SlateGray,,CX708090,H14A8020,88
Tan,,CXD2B48C,H09AAF70,89
Tomato,,CXFF6347,H081A3FF,90
Turquoise,,CX40E0D0,H12690B8,91
PowderBlue,,CXB0E0E6,H132CB84,92
LimeGreen,,CXA0522D,H08B678F,93
SpringGreen,,CX00FF7F,H10D80FF,94
LightPink,,CXFFB6C1,H06EDBFF,95
Aquamarine,,CX7FFDD4,H118BEF7,96
Cyan,,CX00FFFF,H12C80FF,97
Gainsboro,,CXDCDCDC,H000DC00,98
Pink,,CXFFC0CB,H06DE0FF,99
LightGray,,CXD3D3D3,H000D300,100
GreenYellow,,CXADFF2F,H0CB97FF,101
PaleTurquoise,,CXAFEEEE,H12CCFA6,102
Lime,,CX00FF00,H0F080FF,103
Wheat,,CXF5DEB3,H09FD4C4,104
Aqua,,CX00FFFF,H12C80FF,105
Thistle,,CXD8BFD8,H03CCC3E,106
Chartreuse,,CX7FFF00,H0D280FF,107
Peachpuff,,CXFFDAB9,H094DCFF,108
PaleGoldenrod,,CXEEE8AA,H0AECCAA,999
NavajoWhite,,CXFFDEAD,H09BD6FF,999
PapayaWhip,,CXFFEFD5,H09DEAFF,999
Moccasin,,CXFFE4B5,H09EDAFF,999
Azure,,CXF0FFFF,H12CF8FF,999
Beige,,CXF5F5DC,H0B4E98E,999
AntiqueWhite,,CXFAEBD7,H09AE9C6,999
Bisque,,CXFFE4C4,H098E2FF,999
BlanchedAlmond,,CXFFEBCD,H09CE6FF,999
Cornsilk,,CXFFF8DC,H0A7EEFF,999
FloralWhite,,CXFFFAF0,H0A0F8FF,999
GhostWhite,,CXF8F8FF,H000FCFF,999
Honeydew,,CXF0FFF0,H0F0F8FF,999
Ivory,,CXFFFFF0,H0B4F8FF,999
Lavender,,CXE6E6FA,H000F0AA,999
LavenderBlush,,CXFFF0F5,H064F8FF,999
LemonChiffon,,CXFFFACD,H0AEE6FF,999
LightCyan,,CXE0FFFF,H12CF0FF,999
Linen,,CXFAF0E6,H095F0AA,999
MintCream,,CXF5FFFA,H10EFAFF,999
MistyRose,,CXFFE4E1,H07EF0FF,999
OldLace,,CXFDF5E6,H09FF2D9,999
Seashell,,CXFFF5EE,H090F7FF,999
Snow,,CXFFFAFA,H078FDFF,999
LawnGreen,,CX7CFC00,H0D27EFF,999
AliceBlue,,CXF0F8FF,H148F8FF,999
White,,CXFFFFFF,H000FF00,999
WhiteSmoke,,CXF5F5F5,H000F500,999
LightGoldenrodYellow,,CXFAFAD2,H0B4E6CC,999
LightYellow,,CXFFFFE0,H0B4F0FF,999
Yellow,,CXFFFF00,H0B480FF,999
Silver,,CXC0C0C0,H000C000,999
Khaki,,CXF0E68C,H0AEBEC4,999