COLOR,RGB,HLS
AliceBlue,CXF0F8FF,H148F8FF
AntiqueWhite,CXFAEBD7,H09AE9C6
Aqua,CX00FFFF,H12C80FF
Aquamarine,CX7FFDD4,H118BEF7
Azure,CXF0FFFF,H12CF8FF
Beige,CXF5F5DC,H0B4E98E
Bisque,CXFFE4C4,H098E2FF
Black,CX000000,H0000000
BlanchedAlmond,CXFFEBCD,H09CE6FF
Blue,CX0000FF,H00080FF
BlueViolet,CX8A2BE2,H01F87C2
Brown,CXA52A2A,H0786898
Burlywood,CXDEB887,H099B391
CadetBlue,CX5F9EA0,H12D8041
Chartreuse,CX7FFF00,H0D280FF
Chocolate,CXD2691E,H09178BF
Coral,CXFF7F50,H088A8FF
CornflowerBlue,CX6495ED,H152A9CA
Cornsilk,CXFFF8DC,H0A7EEFF
Crimson,CXDC143C,H06C78D5
Cyan,CX00FFFF,H12C80FF
DarkBlue,CX00008B,H00046FF
DarkCyan,CX008B8B,H12C46FF
DarkGoldenrod,CXB8860B,H0A262E2
DarkGray,CXA9A9A9,H000A900
DarkGreen,CX006400,H0F032FF
DarkKhaki,CXBDB76B,H0AF9462
DarkMagenta,CX8B008B,H03C46FF
DarkOliveGreen,CX556B2F,H0CA4D63
DarkOrange,CXFF8C00,H09880FF
DarkOrchid,CX9932CC,H0287F9B
DarkRed,CX8B0000,H07846FF
DarkSalmon,CXE9967A,H087B2B7
DarkSeaGreen,CX8FBC8F,H0F0A640
DarkSlateBlue,CX483D8B,H0086463
DarkSlateGray,CX2F4F4F,H12C3F41
DarkSlateGrey,CX2F2F2F,H0002F00
DarkTurquoise,CX00CED1,H12C69FF
DarkViolet,CX9400D3,H02A6AFF
DeepPink,CXFF1493,H0578AFF
DeepSkyBlue,CX00BFFF,H13B80FF
DimGray,CX696969,H0006900
DodgerBlue,CX1E90FF,H1498FFF
Firebrick,CXB22222,H0786AAD
FloralWhite,CXFFFAF0,H0A0F8FF
ForestGreen,CX228B22,H0F0579B
Fuchsia,CXFF00FF,H03C80FF
Gainsboro,CXDCDCDC,H000DC00
GhostWhite,CXF8F8FF,H000FCFF
Gold,CXFFD700,H0AA80FF
Goldenrod,CXDAA520,H0A27DBE
Gray or Grey,CX808080,H0008000
Green,CX008000,H0F040FF
GreenYellow,CXADFF2F,H0CB97FF
Honeydew,CXF0FFF0,H0F0F8FF
HotPink,CXFF69B4,H05AB4FF
IndianRed,CXCD5C5C,H0789587
Indigo,CX4B0082,H02241FF
Ivory,CXFFFFF0,H0B4F8FF
Khaki,CXF0E68C,H0AEBEC4
Lavender,CXE6E6FA,H000F0AA
LavenderBlush,CXFFF0F5,H064F8FF
LawnGreen,CX7CFC00,H0D27EFF
LemonChiffon,CXFFFACD,H0AEE6FF
LightBlue,CXADD8E6,H13ACA88
LightCoral,CXF08080,H078B8C9
LightCyan,CXE0FFFF,H12CF0FF
LightGoldenrodYellow,CXFAFAD2,H0B4E6CC
LightGray,CXD3D3D3,H000D300
LightGreen,CX90EE90,H0F0BFBB
LightPink,CXFFB6C1,H06EDBFF
LightSalmon,CXFFA07A,H089BDFF
LightSeaGreen,CX20B2AA,H12869B1
LightSkyBlue,CX87CEFA,H142C1EB
LightSlateGray,CX778899,H14A8824
LightSteelBlue,CXB0C4DE,H14DC769
LightYellow,CXFFFFE0,H0B4F0FF
Lime,CX00FF00,H0F080FF
LimeGreen,CX32CD32,H0F0809B
Linen,CXFAF0E6,H095F0AA
Magenta,CXFF00FF,H03C80FF
Maroon,CX800000,H07840FF
MediumAquamarine,CX66CDAA,H1179A81
MediumBlue,CX0000CD,H00067FF
MediumOrchid,CXBA55D3,H0309496
MediumPurple,CX9370DB,H013A698
MediumSeaGreen,CX3CB371,H10A787F
MediumSlateBlue,CX7B68EE,H008ABCB
MediumSpringGreen,CX00FA9A,H1147DFF
MediumTurquoise,CX48D1CC,H1298D99
MediumVioletRed,CXC71585,H0526ECE
MidnightBlue,CX191970,H00045A2
MintCream,CXF5FFFA,H10EFAFF
MistyRose,CXFFE4E1,H07EF0FF
Moccasin,CXFFE4B5,H09EDAFF
NavajoWhite,CXFFDEAD,H09BD6FF
Navy,CX000080,H00040FF
OldLace,CXFDF5E6,H09FF2D9
Olive,CX808000,H0B440FF
OliveDrab,CX6B8E23,H0C7599A
Orange,CXFFA500,H09E80FF
OrangeRed,CXFF4500,H08880FF
Orchid,CXDA70D6,H03EA596
PaleGoldenrod,CXEEE8AA,H0AECCAA
PaleGreen,CX98FB98,H0F0CAEC
PaleTurquoise,CXAFEEEE,H12CCFA6
PaleVioletRed,CXDB7093,H064A698
PapayaWhip,CXFFEFD5,H09DEAFF
Peachpuff,CXFFDAB9,H094DCFF
Peru,CXCD853F,H0958696
Pink,CXFFC0CB,H06DE0FF
Plum,CXDDA0DD,H03CBF79
PowderBlue,CXB0E0E6,H132CB84
Purple,CX800080,H03C40FF
Red,CXFF0000,H07880FF
RosyBrown,CXBC8F8F,H078A640
RoyalBlue,CX4169E1,H15991B9
SaddleBrown,CX8B4513,H0914FC2
Salmon,CXFA8072,H07EB6EE
SandyBrown,CXF4A460,H093AADE
SeaGreen,CX2E8B57,H10A5D80
Seashell,CXFFF5EE,H090F7FF
Sienna,CXA0522D,H08B678F
Silver,CXC0C0C0,H000C000
SkyBlue,CX87CEEB,H13DB9B6
SlateBlue,CX6A5ACD,H0089488
SlateGray,CX708090,H14A8020
Snow,CXFFFAFA,H078FDFF
SpringGreen,CX00FF7F,H10D80FF
SteelBlue,CX4682B4,H1477D70
Tan,CXD2B48C,H09AAF70
Teal,CX008080,H12C40FF
Thistle,CXD8BFD8,H03CCC3E
Tomato,CXFF6347,H081A3FF
Turquoise,CX40E0D0,H12690B8
Violet,CXEE82EE,H03CB8C2
Wheat,CXF5DEB3,H09FD4C4
White,CXFFFFFF,H000FF00
WhiteSmoke,CXF5F5F5,H000F500
Yellow,CXFFFF00,H0B480FF
YellowGreen,CX9ACD32,H0C7809B